State,District,Reported,Sigma,Delta,Today,Day,Name,Population,TNaught,TN,perDelta
Uttarakhand,udham singh nagar,2020-04-21,57,-7,0,38,udham singh nagar,2068382,111,137,-12.28
West Bengal,birbhum,2020-05-04,60,26,0,25,birbhum,4393415,124,145,43.33
West Bengal,kolkata,2020-04-21,1895,30,0,38,kolkata,5640652,111,113,1.58
West Bengal,murshidabad,2020-04-22,76,0,0,37,murshidabad,8911015,112,143,0.0
West Bengal,nadia,2020-04-21,51,9,0,38,nadia,6482237,111,144,17.65
West Bengal,north 24 parganas,2020-04-21,589,13,0,38,north 24 parganas,12556269,111,113,2.21
West Bengal,paschim medinipur,2020-05-04,28,0,0,25,paschim medinipur,7417840,124,138,0.0
West Bengal,purba medinipur,2020-05-02,76,5,0,27,purba medinipur,6392265,122,123,6.58
West Bengal,south 24 parganas,2020-04-21,166,-9,0,38,south 24 parganas,10238363,111,125,-5.42
West Bengal,uttar dinajpur,2020-05-10,93,46,0,19,uttar dinajpur,3772148,130,144,49.46
