States,Latitude,Longitude,Date Announced,Patient Number
Uttar Pradesh,26.599980699999996,80.05000565,2020-04-01,13
Uttar Pradesh,26.599980699999996,80.05000565,2020-04-02,11
Uttar Pradesh,26.599980699999996,80.05000565,2020-04-03,46
Uttar Pradesh,26.599980699999996,80.05000565,2020-04-04,60
Uttar Pradesh,26.599980699999996,80.05000565,2020-04-05,44
Uttar Pradesh,26.599980699999996,80.05000565,2020-04-06,27
Uttar Pradesh,26.599980699999996,80.05000565,2020-04-07,27
Uttar Pradesh,26.599980699999996,80.05000565,2020-04-08,29
Uttar Pradesh,26.599980699999996,80.05000565,2020-04-09,49
Uttar Pradesh,26.599980699999996,80.05000565,2020-04-10,23
Uttar Pradesh,26.599980699999996,80.05000565,2020-04-11,19
Uttar Pradesh,26.599980699999996,80.05000565,2020-04-12,31
Uttar Pradesh,26.599980699999996,80.05000565,2020-04-13,75
Uttar Pradesh,26.599980699999996,80.05000565,2020-04-14,102
Uttar Pradesh,26.599980699999996,80.05000565,2020-04-15,75
Uttarakhand,30.320409,78.05000565,2020-03-15,1
Uttarakhand,30.320409,78.05000565,2020-03-19,2
Uttarakhand,30.320409,78.05000565,2020-03-23,1
Uttarakhand,30.320409,78.05000565,2020-03-25,1
Uttarakhand,30.320409,78.05000565,2020-03-28,1
Uttarakhand,30.320409,78.05000565,2020-03-29,1
Uttarakhand,30.320409,78.05000565,2020-04-02,3
Uttarakhand,30.320409,78.05000565,2020-04-03,6
Uttarakhand,30.320409,78.05000565,2020-04-04,6
Uttarakhand,30.320409,78.05000565,2020-04-05,4
Uttarakhand,30.320409,78.05000565,2020-04-06,5
Uttarakhand,30.320409,78.05000565,2020-04-08,4
Uttarakhand,30.320409,78.05000565,2020-04-14,2
West Bengal,22.5803904,87.52994665,2020-03-17,1
West Bengal,22.5803904,87.52994665,2020-03-20,1
West Bengal,22.5803904,87.52994665,2020-03-21,2
West Bengal,22.5803904,87.52994665,2020-03-22,3
West Bengal,22.5803904,87.52994665,2020-03-24,2
West Bengal,22.5803904,87.52994665,2020-03-26,1
West Bengal,22.5803904,87.52994665,2020-03-27,5
West Bengal,22.5803904,87.52994665,2020-03-28,3
West Bengal,22.5803904,87.52994665,2020-03-29,3
West Bengal,22.5803904,87.52994665,2020-03-30,1
West Bengal,22.5803904,87.52994665,2020-03-31,15
West Bengal,22.5803904,87.52994665,2020-04-02,16
West Bengal,22.5803904,87.52994665,2020-04-05,27
West Bengal,22.5803904,87.52994665,2020-04-07,11
West Bengal,22.5803904,87.52994665,2020-04-08,8
West Bengal,22.5803904,87.52994665,2020-04-09,4
West Bengal,22.5803904,87.52994665,2020-04-10,13
West Bengal,22.5803904,87.52994665,2020-04-11,10
West Bengal,22.5803904,87.52994665,2020-04-12,8
West Bengal,22.5803904,87.52994665,2020-04-13,18
West Bengal,22.5803904,87.52994665,2020-04-14,38
West Bengal,22.5803904,87.52994665,2020-04-15,23
