Name,Population,knownNames
East Khasi Hills,1036036.557,East Khasi Hills
East Siang,124454.0416,East Siang
Ernakulam,4117427.507,Ernakulam
Erode,2824587.674,Erode
Etah,2225907.712,Etah
Etawah,1984222.464,Etawah
Faizabad,3099617.382,Faizabad
Faridabad,2270129.075,Faridabad
Faridkot,774602.0352,Faridkot
Farrukhabad,2364799.898,Farrukhabad
Fatehabad,1181658.598,Fatehabad
Fatehgarh Sahib,752844.4672,Fatehgarh Sahib
Fatehpur,3302500.275,Fatehpur
Firozabad,3133686.886,Firozabad
Firozpur,2545270.426,Firozpur
Gadag,1335396.608,Gadag
Gadchiroli,1345898.445,Gadchiroli
Gajapati,724813.6448,Gajapati
Ganderbal,373116.2624,Ganderbal
Gandhinagar,1745814.963,Gandhinagar
Ganganagar ,2470124.339,Ganganagar 
Ganjam,4426816.486,Ganjam
Garhwa ,1659300.25,Garhwa 
Garhwal,862112.7424,Garhwal
Gautam Buddha Nagar,2067395.456,Gautam Buddha Nagar
Gaya,5508594.739,Gaya
Ghaziabad,5872655.488,Ghaziabad
Ghazipur,4541264.179,Ghazipur
Giridih,3067602.586,Giridih
Goalpara,1264664.755,Goalpara
Godda,1647718.374,Godda
Golaghat,1338304.307,Golaghat
Gonda,4307507.994,Gonda
Gondiya,1658952.781,Gondiya
Gopalganj,3213787.853,Gopalganj
Gorakhpur,5570658.688,Gorakhpur
Gulbarga,3219199.334,Gulbarga
Gumla,1286027.187,Gumla
Guna,1557361.434,Guna
Guntur,6131272.627,Guntur
Gurdaspur,2883016.371,Gurdaspur
Gurgaon,1899703.501,Gurgaon
Gwalior,2548985.958,Gwalior
Hailakandi,827020.9024,Hailakandi
Hamirpur,570460.9792,Hamirpur
Hamirpur,1385215.104,Hamirpur
Hanumangarh,2226173.645,Hanumangarh
Haora ,6083876.378,Haora 
Harda ,715591.296,Harda 
Hardoi,5134064.768,Hardoi
Hardwar,2371345.357,Hardwar
Hassan,2228342.502,Hassan
Haveri,2004114.739,Haveri
Hazaribagh,2175750.528,Hazaribagh
Hingoli,1476861.568,Hingoli
Hisar,2187587.046,Hisar
Hoshangabad,1557149.44,Hoshangabad
Hoshiarpur,1990262.4,Hoshiarpur
Hugli ,6923215.488,Hugli 
Hyderabad,4946504.371,Hyderabad
Idukki ,1391096.986,Idukki 
Imphal East,572148.1472,Imphal East
Imphal West,649769.1648,Imphal West
Indore,4110288.717,Indore
Jabalpur,3089949.722,Jabalpur
Jagatsinghapur ,1426216.422,Jagatsinghapur 
Jaintia Hills,495643.5456,Jaintia Hills
Jaipur,8311877.683,Jaipur
Jaisalmer,840346.3936,Jaisalmer
Jajapur  ,2292029.645,Jajapur  
Jalandhar,2751639.296,Jalandhar
Jalaun ,2119903.386,Jalaun 
Jalgaon,5306007.885,Jalgaon
Jalna,2457427.302,Jalna
Jalor,2293958.912,Jalor
Jalpaiguri ,4858098.022,Jalpaiguri 
Jammu,1919179.315,Jammu
Jamnagar,2709653.274,Jamnagar
Jamtara,992283.0848,Jamtara
Jamui,2208252.032,Jamui
Janjgir - Champa,2031760.461,Janjgir - Champa
Jashpur ,1068333.594,Jashpur 
Jaunpur,5637529.498,Jaunpur
Jehanabad ,1411592.627,Jehanabad 
Jhabua,1285820.211,Jhabua
Jhajjar,1202223.232,Jhajjar
Jhalawar,1770120.218,Jhalawar
Jhansi,2507047.603,Jhansi
Jharsuguda,726931.072,Jharsuguda
Jhunjhunun,2680709.248,Jhunjhunun
Jind,1673560.269,Jind
Jodhpur,4625179.776,Jodhpur
Jorhat,1370125.926,Jorhat
Junagadh,3440922.061,Junagadh
Jyotiba Phule Nagar,2308373.222,Jyotiba Phule Nagar
Kabeerdham,1031776.614,Kabeerdham
Kachchh,2624670.182,Kachchh
Kaimur,2040136.09,"Kaimur,kaimur bhabua"
Kaithal,1347606.938,Kaithal
Kalahandi,1978024.474,Kalahandi
Kamrup,1903604.685,Kamrup
Kamrup Metropolitan,1572939.827,Kamrup Metropolitan
Kancheepuram,5015407.309,Kancheepuram
Kandhamal,919613.184,Kandhamal
Kangra,1894238.08,Kangra
Kannauj,2078059.11,Kannauj
Kanniyakumari,2346197.146,Kanniyakumari
Kannur,3164854.963,Kannur
