index,city,lat,long,state
635,avi Mumbai, 19.11, 73.06, Maharashtra
636,avi Mumbai, 19.00, 73.10, Maharashtra
637, Osmanabad, 18.17, 76.03, Maharashtra
638, Palghar, 19.68, 72.75, Maharashtra
639, Pandharpur, 17.68, 75.31, Maharashtra
640, Parbhani, 19.27, 76.76, Maharashtra
641, Phaltan, 17.98, 74.43, Maharashtra
642, Pimpri, 18.62, 73.80, Maharashtra
643, Pune, 18.53, 73.84, Maharashtra
644, Pune Cantonment, 18.50, 73.88, Maharashtra
645, Pusad, 19.91, 77.57, Maharashtra
646, Ratnagiri, 17.00, 73.29, Maharashtra
647, SangliMiraj, 16.86, 74.57, Maharashtra
648, Satara, 17.70, 74.00, Maharashtra
649, Shahada, 21.55, 74.47, Maharashtra
650, Shegaon, 20.78, 76.68, Maharashtra
651, Shirpur, 21.35, 74.88, Maharashtra
652, Sholapur, 17.67, 75.89, Maharashtra
653, Shrirampur, 19.63, 74.64, Maharashtra
654, Sillod, 20.30, 75.65, Maharashtra
655, Thana, 19.20, 72.97, Maharashtra
656, Udgir, 18.40, 77.11, Maharashtra
657, Ulhasnagar, 19.23, 73.15, Maharashtra
658, Uran Islampur, 17.05, 74.27, Maharashtra
659, Vasai, 19.36, 72.80, Maharashtra
660, Virar, 19.47, 72.79, Maharashtra
661, Wadi, , , Maharashtra
662, Wani, 20.07, 78.95, Maharashtra
663, Wardha, 20.75, 78.60, Maharashtra
664, Warud, 21.47, 78.27, Maharashtra
665, Washim, 20.10, 77.13, Maharashtra
666, Yavatmal, 20.41, 78.13, Maharashtra
667, Imphal, 24.79, 93.94, Manipur
668, Shillong, 25.57, 91.87, Meghalaya
669, Tura, 25.52, 90.22, Meghalaya
670, Aizawl, 23.71, 92.71, Mizoram
671, Lunglei, 22.88, 92.73, Mizoram
672, Dimapur, 25.92, 93.73,agaland
673, Kohima, 25.67, 94.11,agaland
674, Wokha, 26.10, 94.27,agaland
675, Balangir, 20.71, 83.50, Orissa
676, Baleshwar, 21.49, 86.95, Orissa
677, Barbil, 22.12, 85.40, Orissa
678, Bargarh, 21.34, 83.61, Orissa
679, Baripada, 21.95, 86.73, Orissa
680, Bhadrak, 21.06, 86.52, Orissa
681, Bhawanipatna, 19.91, 83.17, Orissa
682, Bhubaneswar, 20.27, 85.84, Orissa
683, Brahmapur, 19.32, 84.80, Orissa
684, Brajrajnagar, 21.82, 83.91, Orissa
685, Dhenkanal, 20.67, 85.60, Orissa
686, Jaypur, 18.86, 82.56, Orissa
687, Jharsuguda, 21.87, 84.01, Orissa
688, Kataka, 20.47, 85.88, Orissa
689, Kendujhar, 21.63, 85.58, Orissa
690, Paradwip, 20.32, 86.62, Orissa
691, Puri, 19.81, 85.83, Orissa
692, Raurkela, 22.24, 84.81, Orissa
693, Raurkela Industrial Township, , , Orissa
694, Rayagada, 19.18, 83.41, Orissa
695, Sambalpur, 21.47, 83.97, Orissa
696, Sunabeda, 18.69, 82.86, Orissa
697, Karaikal, 10.93, 79.83, Pondicherry
698, Ozhukarai, 11.94, 79.77, Pondicherry
699, Pondicherry, 11.94, 79.83, Pondicherry
700, Abohar, 30.14, 74.20, Punjab
701, Amritsar, 31.64, 74.87, Punjab
702, Barnala, 30.39, 75.54, Punjab
703, Batala, 31.82, 75.21, Punjab
704, Bathinda, 30.17, 74.97, Punjab
705, Dhuri, 30.37, 75.87, Punjab
706, Faridkot, 30.68, 74.74, Punjab
707, Fazilka, 30.41, 74.02, Punjab
708, Firozpur, 30.92, 74.61, Punjab
709, Firozpur Cantonment, 30.95, 74.60, Punjab
710, Gobindgarh, 30.66, 76.31, Punjab
711, Gurdaspur, 32.04, 75.40, Punjab
712, Hoshiarpur, 31.53, 75.91, Punjab
713, Jagraon, 30.78, 75.48, Punjab
714, Jalandhar, 31.33, 75.57, Punjab
715, Kapurthala, 31.38, 75.38, Punjab
716, Khanna, 30.71, 76.21, Punjab
717, Kot Kapura, 30.59, 74.80, Punjab
718, Ludhiana, 30.91, 75.84, Punjab
719, Malaut, 30.23, 74.48, Punjab
720, Maler Kotla, 30.54, 75.87, Punjab
721, Mansa, 29.98, 75.39, Punjab
722, Moga, 30.82, 75.17, Punjab
723, Mohali, 30.78, 76.69, Punjab
724, Pathankot, 32.27, 75.64, Punjab
725, Patiala, 30.32, 76.39, Punjab
726, Phagwara, 31.22, 75.76, Punjab
727, Rajpura, 30.48, 76.59, Punjab
728, Rupnagar, 30.98, 76.52, Punjab
729, Samana, 30.15, 76.20, Punjab
730, Sangrur, 30.25, 75.84, Punjab
731, Sirhind, 30.65, 76.38, Punjab
732, Sunam, 30.13, 75.80, Punjab
733, Tarn Taran, 31.45, 74.92, Punjab
734, Ajmer, 26.45, 74.64, Rajasthan
735, Alwar, 27.56, 76.60, Rajasthan
736, Balotra, 25.83, 72.23, Rajasthan
737, Banswara, 23.54, 74.44, Rajasthan
738, Baran, 25.10, 76.51, Rajasthan
739, Bari, 26.65, 77.60, Rajasthan
740, Barmer, 25.75, 71.39, Rajasthan
741, Beawar, 26.10, 74.30, Rajasthan
742, Bharatpur, 27.23, 77.49, Rajasthan
743, Bhilwara, 25.35, 74.63, Rajasthan
744, Bhiwadi, , , Rajasthan
745, Bikaner, 28.03, 73.32, Rajasthan
746, Bundi, 25.45, 75.63, Rajasthan
747, Chittaurgarh, 24.89, 74.63, Rajasthan
748, Chomun, 27.17, 75.72, Rajasthan
749, Churu, 28.31, 74.96, Rajasthan
750, Daosa, 26.88, 76.33, Rajasthan
751, Dhaulpur, 26.70, 77.87, Rajasthan
752, Didwana, 27.39, 74.57, Rajasthan
753, Fatehpur, 27.99, 74.95, Rajasthan
754, Ganganagar, 29.93, 73.86, Rajasthan
755, Gangapur, 26.47, 76.72, Rajasthan
756, Hanumangarh, 29.62, 74.29, Rajasthan
757, Hindaun, 26.74, 77.02, Rajasthan
758, Jaipur, 26.92, 75.80, Rajasthan
759, Jaisalmer, 26.92, 70.90, Rajasthan
760, Jalor, 25.35, 72.62, Rajasthan
761, Jhalawar, 24.60, 76.15, Rajasthan
762, Jhunjhunun, 28.13, 75.39, Rajasthan
763, Jodhpur, 26.29, 73.02, Rajasthan
764, Karauli, 26.50, 77.02, Rajasthan
765, Kishangarh, 26.58, 74.86, Rajasthan
766, Kota, 25.18, 75.83, Rajasthan
767, Kuchaman, 27.15, 74.85, Rajasthan
768, Ladnun, 27.64, 74.38, Rajasthan
769, Makrana, 27.05, 74.72, Rajasthan
770,agaur, 27.21, 73.73, Rajasthan
771,awalgarh, 27.85, 75.27, Rajasthan
772,imbahera, 24.62, 74.68, Rajasthan
773,okha, 27.60, 73.42, Rajasthan
774, Pali, 25.79, 73.32, Rajasthan
775, Rajsamand, 25.07, 73.88, Rajasthan
776, Ratangarh, 28.09, 74.60, Rajasthan
777, Sardarshahr, 28.45, 74.48, Rajasthan
778, Sawai Madhopur, 26.03, 76.34, Rajasthan
779, Sikar, 27.61, 75.13, Rajasthan
780, Sujangarh, 27.70, 74.46, Rajasthan
781, Suratgarh, 29.32, 73.90, Rajasthan
782, Tonk, 26.17, 75.78, Rajasthan
783, Udaipur, 24.58, 73.69, Rajasthan
784, Alandur, 13.03, 80.23, Tamiladu
785, Ambattur, 13.11, 80.17, Tamiladu
786, Ambur, 12.80, 78.72, Tamiladu
787, Arakonam, 13.08, 79.67, Tamiladu
788, Arani, 12.68, 79.28, Tamiladu
789, Aruppukkottai, 9.51, 78.09, Tamiladu
790, Attur, 11.60, 78.60, Tamiladu
791, Avadi, 13.12, 80.11, Tamiladu
792, Avaniapuram, 9.86, 78.12, Tamiladu
793, Bodinayakkanur, 10.01, 77.35, Tamiladu
794, Chengalpattu, 12.70, 79.97, Tamiladu
795, Dharapuram, 10.74, 77.52, Tamiladu
796, Dharmapuri, 12.13, 78.16, Tamiladu
797, Dindigul, 10.36, 77.97, Tamiladu
798,rode, 11.35, 77.73, Tamiladu
799, Gopichettipalaiyam, 11.46, 77.43, Tamiladu
800, Gudalur, 11.76, 79.75, Tamiladu
801, Gudiyattam, 12.95, 78.86, Tamiladu
802, Hosur, 12.72, 77.82, Tamiladu
803, Idappadi, 11.58, 77.85, Tamiladu
804, Kadayanallur, 9.08, 77.35, Tamiladu
805, Kambam, 9.74, 77.28, Tamiladu
806, Kanchipuram, 12.84, 79.70, Tamiladu
807, Karur, 10.96, 78.07, Tamiladu
808, Kavundampalaiyam, 11.05, 76.92, Tamiladu
809, Kovilpatti, 9.19, 77.86, Tamiladu
810, Koyampattur, 11.01, 76.96, Tamiladu
811, Krishnagiri, 12.54, 78.21, Tamiladu
812, Kumarapalaiyam, 11.44, 77.73, Tamiladu
813, Kumbakonam, 10.97, 79.38, Tamiladu
814, Kuniyamuthur, 10.98, 76.95, Tamiladu
815, Kurichi, 10.92, 76.96, Tamiladu
816, Madhavaram, 13.02, 80.26, Tamiladu
817, Madras, 13.09, 80.27, Tamiladu
818, Madurai, 9.92, 78.12, Tamiladu
819, Maduravoyal, , , Tamiladu
820, Mannargudi, 10.67, 79.45, Tamiladu
821, Mayiladuthurai, 11.11, 79.65, Tamiladu
822, Mettupalayam, 11.30, 76.94, Tamiladu
823, Mettur, 11.80, 77.80, Tamiladu
824,agapattinam, 10.80, 79.84, Tamiladu
825,agercoil, 8.18, 77.43, Tamiladu
826,amakkal, 11.23, 78.17, Tamiladu
827,erkunram, 13.04, 80.26, Tamiladu
828,eyveli, 11.62, 79.48, Tamiladu
829, Pallavaram, 12.99, 80.16, Tamiladu
830, Pammal, 12.97, 80.11, Tamiladu
831, Pannuratti, 11.78, 79.55, Tamiladu
832, Paramakkudi, 9.54, 78.59, Tamiladu
833, Pattukkottai, 10.43, 79.31, Tamiladu
834, Pollachi, 10.67, 77.00, Tamiladu
835, Pudukkottai, 10.39, 78.82, Tamiladu
836, Puliyankudi, 9.18, 77.40, Tamiladu
837, Punamalli, 13.05, 80.11, Tamiladu
838, Rajapalaiyam, 9.46, 77.55, Tamiladu
839, Ramanathapuram, 9.37, 78.83, Tamiladu
840, Salem, 11.67, 78.16, Tamiladu
841, Sankarankoil, 9.17, 77.54, Tamiladu
842, Sivakasi, 9.46, 77.79, Tamiladu
843, Srivilliputtur, 9.52, 77.63, Tamiladu
844, Tambaram, 12.93, 80.12, Tamiladu
845, Tenkasi, 8.96, 77.31, Tamiladu
846, Thanjavur, 10.79, 79.13, Tamiladu
847, Theni Allinagaram, 10.02, 77.48, Tamiladu
848, Thiruthangal, 9.48, 77.83, Tamiladu
849, Thiruvarur, 10.78, 79.64, Tamiladu
850, Thuthukkudi, 8.81, 78.14, Tamiladu
851, Tindivanam, 12.24, 79.65, Tamiladu
852, Tiruchchirappalli, 10.81, 78.69, Tamiladu
853, Tiruchengode, 11.38, 77.90, Tamiladu
854, Tirunelveli, 8.73, 77.69, Tamiladu
855, Tirupathur, 12.50, 78.57, Tamiladu
856, Tiruppur, 11.09, 77.35, Tamiladu
857, Tiruvannamalai, 12.24, 79.07, Tamiladu
858, Tiruvottiyur, 13.16, 80.29, Tamiladu
859, Udagamandalam, 11.42, 76.69, Tamiladu
860, Udumalaipettai, 10.58, 77.24, Tamiladu
861, Valparai, 10.38, 76.99, Tamiladu
862, Vaniyambadi, 12.69, 78.60, Tamiladu
863, Velampalaiyam, , , Tamiladu
864, Velluru, 12.92, 79.13, Tamiladu
865, Viluppuram, 11.95, 79.49, Tamiladu
866, Virappanchatram, 11.40, 77.70, Tamiladu
867, Virudhachalam, 11.51, 79.32, Tamiladu
868, Virudunagar, 9.59, 77.95, Tamiladu
869, Agartala, 23.84, 91.27, Tripura
870, Agartala MCl, , , Tripura
871, Badharghat, , , Tripura
872, Agra, 27.19, 78.01, Uttar Pradesh
873, Aligarh, 27.89, 78.06, Uttar Pradesh
874, Allahabad, 25.45, 81.84, Uttar Pradesh
875, Amroha, 28.91, 78.46, Uttar Pradesh
876, Aonla, 28.28, 79.15, Uttar Pradesh
877, Auraiya, 26.47, 79.50, Uttar Pradesh
878, Ayodhya, 26.80, 82.20, Uttar Pradesh
879, Azamgarh, 26.07, 83.18, Uttar Pradesh
880, Baheri, 28.78, 79.50, Uttar Pradesh
881, Bahraich, 27.58, 81.59, Uttar Pradesh
882, Ballia, 25.76, 84.15, Uttar Pradesh
883, Balrampur, 27.43, 82.18, Uttar Pradesh
884, Banda, 25.48, 80.33, Uttar Pradesh
885, Baraut, 29.10, 77.26, Uttar Pradesh
886, Bareli, 28.36, 79.41, Uttar Pradesh
887, Basti, 26.80, 82.74, Uttar Pradesh
888, Behta Hajipur, , , Uttar Pradesh
889, Bela, 25.92, 81.99, Uttar Pradesh
890, Bhadohi, 25.40, 82.56, Uttar Pradesh
891, Bijnor, 29.38, 78.13, Uttar Pradesh
892, Bisalpur, 28.30, 79.80, Uttar Pradesh
893, Biswan, 27.50, 81.00, Uttar Pradesh
894, Budaun, 28.04, 79.12, Uttar Pradesh
895, Bulandshahr, 28.41, 77.85, Uttar Pradesh
896, Chandausi, 28.46, 78.78, Uttar Pradesh
897, Chandpur, 29.14, 78.27, Uttar Pradesh
898, Chhibramau, 27.15, 79.52, Uttar Pradesh
899, Chitrakut Dham, 25.20, 80.84, Uttar Pradesh
900, Dadri, 28.57, 77.55, Uttar Pradesh
901, Deoband, 29.70, 77.67, Uttar Pradesh
902, Deoria, 26.51, 83.78, Uttar Pradesh
903,tah, 27.57, 78.64, Uttar Pradesh
904,tawah, 26.78, 79.01, Uttar Pradesh
905, Faizabad, 26.78, 82.14, Uttar Pradesh
906, Faridpur, 28.22, 79.53, Uttar Pradesh
907, Farrukhabad, 27.40, 79.57, Uttar Pradesh
908, Fatehpur, 25.93, 80.81, Uttar Pradesh
909, Firozabad, 27.15, 78.39, Uttar Pradesh
910, Gajraula, 28.85, 78.23, Uttar Pradesh
911, Ganga Ghat, 26.52, 80.45, Uttar Pradesh
912, Gangoh, 29.77, 77.25, Uttar Pradesh
913, Ghaziabad, 28.66, 77.41, Uttar Pradesh
914, Ghazipur, 25.59, 83.59, Uttar Pradesh
915, Gola Gokarannath, 28.08, 80.47, Uttar Pradesh
916, Gonda, 27.14, 81.95, Uttar Pradesh
917, Gorakhpur, 26.76, 83.36, Uttar Pradesh
918, Hapur, 28.73, 77.77, Uttar Pradesh
919, Hardoi, 27.42, 80.12, Uttar Pradesh
920, Hasanpur, 28.72, 78.28, Uttar Pradesh
921, Hathras, 27.60, 78.04, Uttar Pradesh
922, Jahangirabad, 28.42, 78.10, Uttar Pradesh
923, Jalaun, 26.15, 79.35, Uttar Pradesh
924, Jaunpur, 25.76, 82.69, Uttar Pradesh
925, Jhansi, 25.45, 78.56, Uttar Pradesh
926, Kadi, 23.31, 72.33, Uttar Pradesh
927, Kairana, 29.40, 77.20, Uttar Pradesh
928, Kannauj, 27.06, 79.91, Uttar Pradesh
929, Kanpur, 26.47, 80.33, Uttar Pradesh
930, Kanpur Cantonment, 26.50, 80.28, Uttar Pradesh
931, Kasganj, 27.81, 78.63, Uttar Pradesh
932, Khatauli, 29.28, 77.72, Uttar Pradesh
933, Khora, , , Uttar Pradesh
934, Khurja, 28.26, 77.85, Uttar Pradesh
935, Kiratpur, 29.52, 78.20, Uttar Pradesh
936, Kosi Kalan, 27.80, 77.44, Uttar Pradesh
937, Laharpur, 27.72, 80.90, Uttar Pradesh
938, Lakhimpur, 27.95, 80.78, Uttar Pradesh
939, Lakhnau, 26.85, 80.92, Uttar Pradesh
940, Lakhnau Cantonment, 26.81, 80.97, Uttar Pradesh
941, Lalitpur, 24.70, 78.41, Uttar Pradesh
942, Loni, 28.75, 77.28, Uttar Pradesh
943, Mahoba, 25.30, 79.87, Uttar Pradesh
944, Mainpuri, 27.24, 79.02, Uttar Pradesh
945, Mathura, 27.50, 77.68, Uttar Pradesh
946, Mau, 25.96, 83.56, Uttar Pradesh
947, Mauranipur, 25.24, 79.13, Uttar Pradesh
948, Mawana, 29.11, 77.91, Uttar Pradesh
949, Mirat, 28.99, 77.70, Uttar Pradesh
950, Mirat Cantonment, 29.02, 77.67, Uttar Pradesh
951, Mirzapur, 25.16, 82.56, Uttar Pradesh
952, Modinagar, 28.92, 77.62, Uttar Pradesh
953, Moradabad, 28.84, 78.76, Uttar Pradesh
954, Mubarakpur, 26.09, 83.28, Uttar Pradesh
955, Mughal Sarai, 25.30, 83.12, Uttar Pradesh
956, Muradnagar, 28.78, 77.50, Uttar Pradesh
957, Muzaffarnagar, 29.48, 77.69, Uttar Pradesh
958,agina, 29.45, 78.43, Uttar Pradesh
959,ajibabad, 29.62, 78.33, Uttar Pradesh
960,awabganj, 26.94, 81.19, Uttar Pradesh
961,oida, 28.58, 77.33, Uttar Pradesh
962, Obra, 24.42, 82.98, Uttar Pradesh
963, Orai, 25.99, 79.45, Uttar Pradesh
964, Pilibhit, 28.64, 79.81, Uttar Pradesh
965, Pilkhuwa, 28.72, 77.65, Uttar Pradesh
966, Rae Bareli, 26.23, 81.23, Uttar Pradesh
967, Ramgarhagla Kothi, , , Uttar Pradesh
968, Rampur, 28.82, 79.02, Uttar Pradesh
969, Rath, 25.58, 79.57, Uttar Pradesh
970, Renukut, 24.20, 83.03, Uttar Pradesh
971, Saharanpur, 29.97, 77.54, Uttar Pradesh
972, Sahaswan, 28.08, 78.74, Uttar Pradesh
973, Sambhal, 28.59, 78.56, Uttar Pradesh
974, Sandila, 27.08, 80.52, Uttar Pradesh
975, Shahabad, 27.65, 79.95, Uttar Pradesh
976, Shahjahanpur, 27.88, 79.90, Uttar Pradesh
977, Shamli, 29.46, 77.31, Uttar Pradesh
978, Sherkot, 29.35, 78.58, Uttar Pradesh
979, Shikohabad, 27.12, 78.58, Uttar Pradesh
980, Sikandarabad, 28.44, 77.69, Uttar Pradesh
981, Sitapur, 27.57, 80.69, Uttar Pradesh
982, Sukhmalpurizamabad, , , Uttar Pradesh
983, Sultanpur, 26.26, 82.06, Uttar Pradesh
984, Tanda, 26.55, 82.65, Uttar Pradesh
985, Tilhar, 27.98, 79.73, Uttar Pradesh
986, Tundla, 27.20, 78.28, Uttar Pradesh
987, Ujhani, 28.02, 79.02, Uttar Pradesh
988, Unnao, 26.55, 80.49, Uttar Pradesh
989, Varanasi, 25.32, 83.01, Uttar Pradesh
990, Vrindavan, 27.58, 77.70, Uttar Pradesh
991, Dehra Dun, 30.34, 78.05, Uttaranchal
992, Dehra Dun Cantonment, 30.34, 77.97, Uttaranchal
993, Gola Range, , , Uttaranchal
994, Haldwani, 29.23, 79.52, Uttaranchal
995, Haridwar, 29.98, 78.16, Uttaranchal
996, Kashipur, 29.22, 78.96, Uttaranchal
997, Pithoragarh, 29.58, 80.22, Uttaranchal
998, Rishikesh, 30.12, 78.29, Uttaranchal
999, Rudrapur, , , Uttaranchal
1000, Rurki, 29.87, 77.89, Uttaranchal
